1,What animal does this image represent?,Elephant,Elephant,Lion,Cheetah
2,Is this a lion, elephant, or cheetah?,Cheetah,Lion,Elephant,Cheetah
2,Is this a lion, elephant, or cheetah?,Cheetah,Lion,Elephant,Cheetah
2,Is this a lion, elephant, or cheetah?,Cheetah,Lion,Elephant,Cheetah
2,Is this a lion, elephant, or cheetah?,Cheetah,Lion,Elephant,Cheetah
2,Is this a lion, elephant, or cheetah?,Cheetah,Lion,Elephant,Cheetah
2,Is this a lion, elephant, or cheetah?,Cheetah,Lion,Elephant,Cheetah
2,Is this a lion, elephant, or cheetah?,Cheetah,Lion,Elephant,Cheetah
2,Is this a lion, elephant, or cheetah?,Cheetah,Lion,Elephant,Cheetah
2,Is this a lion, elephant, or cheetah?,Cheetah,Lion,Elephant,Cheetah
2,Is this a lion, elephant, or cheetah?,Cheetah,Lion,Elephant,Cheetah
2,Is this a lion, elephant, or cheetah?,Cheetah,Lion,Elephant,Cheetah
2,Is this a lion, elephant, or cheetah?,Cheetah,Lion,Elephant,Cheetah
2,Is this a lion, elephant, or cheetah?,Cheetah,Lion,Elephant,Cheetah
15,What is this image,Cheetah,Lion,Cheetah,Rat
